,clean_tweet,label,agreement
3033,"('harley', 'x', 'eazy', 'come')",0.0,1.0
4967,"('nationalism', 'infantile', 'disease', 'measles', 'mankind')",0.0,1.0
4874,"('mmr', 'yr', 'anniversary')",0.0,1.0
9775,"('shonda', 'tackling', 'measles')",0.0,1.0
9746,"('cases', 'infants', 'depend', 'around', 'vaccinated', 'disneyland', 'measles', 'outbreak', 'via')",1.0,0.6666666666666666
6086,"('jennny', 'youve', 'killing', 'blog', 'posts', 'vaccines', 'late', 'come', 'podcast', 'may', 'maybe', 'discuss')",0.0,1.0
8584,"('sixday', 'delay', 'letting', 'plano', 'isd', 'parents', 'know', 'measles', 'case')",0.0,0.6666666666666666
4360,"('us', 'begin', 'safetytesting', 'ebola', 'vaccine', 'next', 'week', 'federal', 'researchers', 'next', 'week', 'will', 'start', 'testing', 'humans')",1.0,0.6666666666666666
4496,"('immunization', 'debate', 'will', 'always', 'debate', 'regarding', 'children', 'immunizationsi', 'knew', 'didnt')",0.0,0.6666666666666666
4522,"('talking', 'children', 'ebola', 'start', 'less', 'infoprovide', 'clear', 'details', 'askeduser')",0.0,1.0
5088,"('study', 'linking', 'vaccines', 'autism', 'fraudulent', 'vaccines', 'cause', 'disease', 'prevent', 'disease')",1.0,1.0
7519,"('bump', 'checked', 'maybe', 'measles', 'something')",0.0,1.0
5483,"('never', 'thought', 'harm', 'clowned', 'woke', 'ass', 'man', 'hand', 'downs', 'social', 'influenza', 'virus', 'ty', 'vaccine')",0.0,0.6666666666666666
1225,"('rtuser', 'bill', 'force', 'tx', 'parents', 'vaccinate', 'kids')",-1.0,0.3333333333333333
1186,"('need', 'mmr', 'shot', 'school', 'whos', 'going')",1.0,1.0
4371,"('measles', 'outbreak', 'cases', 'eight', 'states', 'canada', 'mexico', 'number', 'cases', 'californiacentered')",0.0,1.0
7707,"('international', 'business', 'times', 'measles', 'becoming', 'deadlier', 'ebola', 'west', 'africa')",0.0,1.0
2419,"('recall', 'conference', 'tourney', 'played', 'empty', 'arenas', 'due', 'measles')",0.0,1.0
5080,"('vaccinations', 'made', 'cat', 'autistic', 'via')",-1.0,0.6666666666666666
4733,"('average', 'people', 'complain', 'live', 'longer', 'relasing', 'tension', 'increases', 'immunity', 'boosts', 'health')",0.0,1.0
8984,"('bravo', 'pa', 'legislators', 'sponsoring', 'bill', 'remove', 'philosophical', 'recognized', 'exemption', 'vaccinating', 'kids')",1.0,0.6666666666666666
5673,"('um', 'theres', 'quite', 'bit', 'foreshadowing', 'daryl', 'shook', 'hands', 'w', 'sick', 'kid', 'maybe', 'hoping', 'daryl', 'immunity')",0.0,1.0
8830,"('enough', 'deal', 'parents', 'vaccinating', 'kids', 'now', 'ive', 'got', 'race', 'cars', 'go', 'nuts')",1.0,0.6666666666666666
198,"('need', 'ask', 'measles', 'outbreak', 'illegalswhere', 'fit', 'epidemic', 'chainnear', 'beginning')",0.0,1.0
4673,"('someone', 'got', 'measles', 'target', 'spectrum', 'beware')",0.0,1.0
5699,"('now', 'mmr', 'vaccine', 'confirmed', 'cause', 'autism')",-1.0,1.0
4222,"('love', 'people', 'kids', 'feel', 'need', 'talk', 'parents', 'dont', 'vaccinate', 'kids')",-1.0,1.0
675,"('vaccine', 'almost', 'everything', 'one', 'barack', 'obama', 'tell', 'obamacare', 'thats', 'poison')",0.0,1.0
5125,"('vaccinations', 'never', 'never', 'will', 'cause', 'autism')",1.0,1.0
5554,"('survey', 'docs', 'give', 'parents', 'want', 'alter', 'childs', 'vaccine', 'schedule', 'health', 'coverage')",0.0,1.0
5190,"('california', 'measles', 'outbreak', 'fueled', 'parents', 'failed', 'vaccinate', 'children', 'shit')",1.0,1.0
7984,"('idk', 'school', 'wo', 'vaccines', 'used', 'required')",0.0,0.6666666666666666
2549,"('ok', 'want', 'know', 'politicians', 'news', 'officials', 'recently', 'bought', 'stock', 'measles', 'vaccines')",0.0,0.6666666666666666
6613,"('rd', 'world', 'countries', 'higher', 'vaccination', 'rates', 'children', 'marin', 'county', 'california', 'via')",1.0,0.6666666666666666
9130,"('slap', 'flu', 'patch', 'new', 'vaccine', 'skip', 'needle', 'cant', 'poison', 'health')",1.0,1.0
4289,"('wapost', 'vaccine', 'credited', 'big', 'cut', 'chickenpox', 'deaths', 'especially', 'children', 'cdc', 'study', 'says')",1.0,0.6666666666666666
3839,"('oh', 'one', 'word', 'difference', 'lakes', 'community', 'high', 'school', 'grant', 'immunity', 'high', 'school')",0.0,0.6666666666666666
9081,"('complain', 'tend', 'live', 'longer', 'releasing', 'tension', 'increases', 'immunity', 'improves', 'overall', 'healthi', 'complain', 'lot')",0.0,1.0
7092,"('vaccinated', 'citizens', 'acquire', 'measles', 'unvaccinated', 'citizens', 'acquired')",0.0,1.0
8646,"('well', 'said', 'need', 'vaccine', 'pencil', 'pushers', 'create', 'testing', 'testing', 'interrupt', 'children', 'learning')",0.0,0.6666666666666666
3166,"('hot', 'saturday', 'night', 'spent', 'constructing', 'ikea', 'furniture', 'lc', 'still', 'measles', 'free')",0.0,0.6666666666666666
6842,"('really', 'believe', 'vaccinations', 'destruction', 'usa', 'polio', 'measles', 'pertussis')",1.0,0.6666666666666666
6085,"('anyone', 'ac', 'tm', 'afternoon', 'come', 'play', 'trump', 'pamps', 'girls', 'bikinis', 'mmrs', 'day', 'shore')",0.0,1.0
1499,"('measles', 'will', 'never', 'anything', 'good', 'ol', 'ebola', 'nice', 'try', 'cnn')",-1.0,0.3333333333333333
8294,"('find', 'man', 'dreams', 'years', 'ago', 'let', 'go', 'comes', 'back', 'life', 'world', 'lt', 'love', 'mmr')",0.0,1.0
5371,"('possible', 'limit', 'measles', 'pics', 'everywhere', 'yea', 'ok')",0.0,1.0
1445,"('careful', 'watch', 'feveri', 'think', 'olivia', 'caught', 'measles', 'coldvirus')",0.0,1.0
5450,"('vaccines', 'cause', 'autism', 'totally', 'refuted', 'surely', 'see', 'flaw', 'mindset')",1.0,0.6666666666666666
9340,"('california', 'parents', 'opting', 'vaccinating', 'kids', 'via', 'nooooooo', 'bad')",1.0,1.0
1727,"('cure', 'male', 'pattern', 'baldness', 'vaccine', 'think', 'children')",0.0,0.6666666666666666
1542,"('thurston', 'county', 'offers', 'free', 'backtoschool', 'immunization', 'clinics', 'thenewstribunecom')",0.0,1.0
463,"('vaccine', 'injuries', 'studied', 'try', 'lessen', 'collateral', 'damage', 'stopping', 'vaccination', 'period', 'kills', 'magnitudes')",1.0,1.0
3782,"('flu', 'shot', 'effective', 'years', 'strain', 'cdc', 'warns', 'health', 'officials', 'warning', 'flu', 'vaccine')",0.0,0.6666666666666666
9993,"('ill', 'say', 'glad', 'mom', 'gave', 'mmr', 'vaccination', 'little', 'required', 'school', 'theres', 'case', 'measles', 'town')",1.0,1.0
2032,"('believe', 'prevent', 'childhood', 'diseases')",1.0,0.6666666666666666
3688,"('measles', 'vs', 'round')",0.0,1.0
3691,"('tarrant', 'county', 'back', 'school', 'roundup', 'coming', 'soon', 'need', 'new', 'backpack', 'school', 'immuninizations')",0.0,0.6666666666666666
9899,"('childrenadults', 'autism', 'never', 'vaccinated', 'forgotten', 'individuals')",1.0,1.0
4240,"('vaccine', 'injured', 'son', 'thanks', 'u', 'weighing', 'prepost', 'mmr')",-1.0,1.0
303,"('putting', 'kids', 'risk', 'theyre', 'vaccinated', 'dont', 'fall', 'propaganda')",-1.0,0.6666666666666666
7884,"('closes', 'newser', 'oh', 'way', 'kids', 'inoculated')",1.0,0.6666666666666666
4034,"('measles', 'case', 'investigation', 'amador', 'county')",0.0,0.6666666666666666
2197,"('facebook', 'friends', 'college', 'share', 'baby', 'tips', 'vaccine', 'conspiracies', 'stories', 'hoax', 'news', 'sites', 'seriously')",1.0,0.6666666666666666
4550,"('son', 'pre', 'vaccine', 'injury')",-1.0,0.6666666666666666
1193,"('helps', 'researcher', 'real', 'data', 'showing', 'fold', 'higher', 'risk', 'autism', 'africanamerican', 'boys', 'wmmr')",-1.0,0.6666666666666666
9059,"('ultrasounds', 'rtuser', 'saying', 'vaccines', 'pill', 'cause', 'autism', 'trying', 'find', 'cause', 'look', 'different', 'movers')",0.0,1.0
7011,"('warn',)",0.0,1.0
6023,"('worn', 'puppy', 'hands', 'hes', 'going', 'even', 'worn', 'vaccination', 'poor', 'baby')",-1.0,0.3333333333333333
6033,"('never', 'measles', 'never', 'mumps', 'eat', 'lot', 'tacos', 'take', 'lot', 'dumps')",0.0,1.0
9776,"('vaccines', 'linked', 'autism', 'ibd', 'peds', 'note', 'mmr', 'mos')",-1.0,1.0
4851,"('amish', 'say', 'measles', 'misdiagnosed', 'holmes', 'county', 'hospital', 'group', 'amish', 'knox', 'county', 'residents')",0.0,1.0
5992,"('kid', 'vaccines', 'today', 'sick', 'terrible', 'cold', 'somehow', 'smiling')",1.0,0.6666666666666666
9129,"('highly', 'contagious', 'disease', 'health', 'officials', 'urge', 'community', 'vaccinated', 'free', 'clinics', 'doctors')",1.0,0.6666666666666666
2834,"('legacy', 'will', 'took', 'clothes', 'contributed', 'getting', 'kids', 'killed')",1.0,1.0
3699,"('cause', 'severe', 'allergy', 'something', 'wise', 'avoid', 'dumb', 'question', 'vaccinate', 'keep', 'kids', 'home')",1.0,0.6666666666666666
6408,"('us', 'begin', 'safety', 'testing', 'ebola', 'vaccine', 'next', 'week', 'federal', 'researchers', 'next', 'week', 'will', 'start', 'testing', 'humans')",0.0,0.6666666666666666
1421,"('forget', 'measles', 'theres', 'frozen', 'epidemic', 'everywhere', 'vaccine')",0.0,1.0
9263,"('sars', 'ebola', 'measles', 'lab', 'experimentation', 'prevention')",0.0,1.0
4662,"('us', 'leading', 'charge', 'immunizations', 'globally', 'let', 'healthgtfear')",1.0,0.6666666666666666
4747,"('weird', 'thought', 'ben', 'carson', 'conservative', 'said', 'kids', 'vaccinated', 'sigh')",1.0,0.6666666666666666
3098,"('viral', 'evasion', 'measles', 'nipah', 'viruses', 'elude', 'detection', 'nice', 'synopsis', 'studies')",0.0,1.0
5323,"('mmr', 'bbq', 'time')",0.0,1.0
5631,"('got', 'flu', 'vaccination', 'rite', 'aid', 'evening', 'already', 'feeling', 'symptoms', 'autism', 'creeping', 'didnt', 'trust', 'teabaggers')",1.0,0.6666666666666666
9657,"('annual', 'checkups', 'screenings', 'amp', 'vaccines', 'now', 'freewhen', 'buy', 'health', 'insurance', 'dec', 'rd')",1.0,0.6666666666666666
2785,"('bill', 'pelischek', 'disneyland', 'media', 'coach', 'concerned', 'measles', 'outbreak', 'belichick', 'concerned')",0.0,1.0
3085,"('cada', 'dia', 'combo', 'vaccine', 'causes', 'autism', 'son', 'elijah', 'taken', 'state', 'wife', 'diagnosed', 'autism')",-1.0,1.0
5146,"('microchip', 'amp', 'vaccinations', 'specials', 'sundays', 'july', 'help', 'pets', 'home', 'safe')",1.0,0.6666666666666666
7690,"('wasnt', 'first', 'concluded', 'mmr', 'vax', 'doesnt', 'cause', 'autism')",1.0,1.0
6622,"('happens', 'dont', 'think', 'critically', 'diseases', 'long', 'beaten', 'come', 'back')",1.0,0.6666666666666666
5902,"('vaccines', 'cause', 'autism', 'p')",-1.0,1.0
2055,"('measles', 'shot')",1.0,1.0
3923,"('born', 'back', 'day', 'exact', 'got', 'mmr', 'shots')",1.0,0.6666666666666666
8548,"('nah', 'lol', 'think', 'mmr', 'makes', 'pretty', 'badass', 'stuff', 'along', 'manley', 'good', 'brands')",0.0,1.0
9118,"('flu', 'epidemic', 'us', 'philadelphia', 'health', 'director', 'don', 'schwarz', 'says', 'flu', 'vaccine', 'first', 'line', 'defense')",0.0,0.6666666666666666
7579,"('shown', 'help', 'immunity', 'whooping', 'cough', 'newborn', 'babies')",1.0,0.6666666666666666
322,"('arizona', 'pinal', 'county', 'health', 'officials', 'confirm', 'eight', 'cases', 'measles', 'total', 'cases', 'confirmed')",0.0,1.0
4279,"('nys', 'require', 'children', 'immunized', 'come', 'cinemapolis', 'sept', 'th', 'pm', 'view', 'invisible', 'threat', 'stay', 'qampa', 'afterward')",0.0,0.6666666666666666
3610,"('stop', 'granola', 'vaccinate', 'children')",1.0,1.0
8516,"('lawampordersvu', 'episode', 'currently', 'infant', 'dies', 'due', 'mom', 'refusing', 'vaccinate', 'work')",1.0,1.0
979,"('good', 'thing', 'didnt', 'one', 'lol', 'cdc', 'flu', 'vaccine', 'may', 'effective', 'years', 'strains')",-1.0,0.6666666666666666
3997,"('stop', 'blaming', 'first', 'now', 'diseasesbrought', 'ancestors')",0.0,1.0
5453,"('mandatory', 'cooties', 'vaccination')",-1.0,0.3333333333333333
2716,"('im', 'mmr', 'station', 'weidman', 'mi')",0.0,1.0
4677,"('hb', 'update', 'providing', 'hospital', 'care', 'assistance', 'necessitated', 'traumatic', 'injury', 'immunity')",0.0,1.0
5144,"('party', 'affiliation', 'never', 'influenced', 'whether', 'kids', 'people', 'think', 'liberal', 'thing', 'idiots', 'vaccinated')",1.0,1.0
1113,"('theres', 'fucking', 'measles', 'riverside')",0.0,1.0
1128,"('measles', 'even', 'puts', 'hair', 'balls')",0.0,1.0
9063,"('tuckered', 'vet', 'visit', 'good', 'health', 'vaccinations', 'done', 'another', 'year')",1.0,1.0
1015,"('ready', 'kids', 'madhatterdc')",0.0,1.0
4301,"('bard', 'college', 'stoned', 'got', 'measles', 'email', 'thought', 'funny', 'funny')",0.0,1.0
2091,"('second', 'hand', 'vapor', 'cures', 'autism', 'ask', 'jenny', 'mccarthy')",1.0,1.0
9208,"('nooo', 'sucks', 'avg', 'people', 'complain', 'live', 'longerreleasing', 'tension', 'increases', 'immunity', 'boosts', 'health')",0.0,1.0
4641,"('go', 'listen', 'new', 'song', 'soundcloud', 'new', 'music')",0.0,1.0
643,"('hpv', 'typesvaccine', 'protects', 'lead', 'cancer', 'rtuser', 'hpv', 'vaccines', 'recommended', 'children')",1.0,1.0
9524,"('preventable', 'good', 'news', 'measles', 'cases', 'usually', 'deadly', 'imagine', 'polio', 'thats', 'scary')",1.0,1.0
9753,"('theyre', 'making', 'measles', 'seem', 'big', 'deal')",0.0,1.0
6271,"('yes', 'time', 'set', 'record', 'straight', 'comes', 'parents', 'dont', 'vaccinate', 'children')",0.0,0.6666666666666666
3413,"('seems', 'say', 'religious', 'beliefs', 'schools', 'let', 'slide')",1.0,1.0
4164,"('longer', 'worried', 'jinxing', 'almost', 'adverse', 'vaccine', 'reaction', 'd', 'sensitive', 'health', 'treat')",1.0,0.6666666666666666
205,"('simple', 'vaccinate', 'kids', 'end')",1.0,1.0
7731,"('waiting', 'benadryl', 'kick', 'poor', 'baby', 'allergic', 'reaction', 'vaccine')",-1.0,0.3333333333333333
3458,"('way', 'god', 'intended', 'california', 'parents', 'measles', 'parties', 'instead', 'vaccinating', 'kids', 'via')",1.0,0.6666666666666666
2265,"('vaccines', 'really', 'good', 'band')",0.0,0.6666666666666666
7526,"('dumb', 'ass', 'kid', 'vaccinated')",1.0,0.6666666666666666
7544,"('now', 'us', 'saying', 'one', 'plane', 'ride', 'away', 'least')",1.0,0.6666666666666666
9824,"('time', 'develop', 'vaccine', 'dreaded', 'preibus', 'disease')",1.0,1.0
7679,"('gosh', 'really', 'hope', 'dont', 'measles', 'ummm', 'vaccinated', 'kinsey', 'oh', 'good')",1.0,0.6666666666666666
5427,"('people', 'dont', 'want', 'vaccinate', 'measles', 'outbreak', 'bc', 'reaches', 'plus', 'tied', 'us', 'cases')",1.0,1.0
612,"('typically', 'want', 'girls', 'vaccinated', 'first', 'sexual', 'activity', 'elementary', 'school', 'dr', 'skeelz')",1.0,1.0
3406,"('cdc', 'flu', 'vaccine', 'less', 'effective', 'expected', 'kidding', 'childrens', 'nose', 'spray')",0.0,0.6666666666666666
6900,"('dont', 'know', 'schools', 'need', 'd', 'vaccine', 'sef')",-1.0,0.6666666666666666
1221,"('now', 'go', 'clinic', 'mmr', 'shot')",1.0,0.6666666666666666
8146,"('vaccine', 'pharmaceutical', 'sales', 'representative', 'inventivhealth', 'atlanta', 'ga')",0.0,0.6666666666666666
1293,"('amazing', 'course', 'antivaccine', 'megachurch', 'hit', 'measles', 'epidemic', 'now', 'offering', 'vaccinations')",1.0,0.6666666666666666
986,"('today', 'kids', 'received', 'first', 'polio', 'vaccine')",0.0,1.0
5018,"('super', 'bowl', 'threatened', 'measles', 'outbreak', 'beer', 'may', 'stop', 'alzheimers', 'flu', 'season', 'wanes')",0.0,1.0
2101,"('disney', 'lands', 'got', 'measles', 'sooooo', 'patriots', 'going', 'year')",0.0,1.0
3477,"('disney', 'parkslinked', 'measles', 'outbreak', 'grows', 'cases', 'seventy', 'people', 'infected', 'measles', 'outbreak')",0.0,1.0
8263,"('want', 'measles')",0.0,1.0
9647,"('vaccines', 'children', 'increased', 'past', 'years', 'autism', 'increased', 'past', 'years', 'coincidence', 'doubt')",-1.0,1.0
4642,"('child', 'goals', 'treys', 'month', 'checkup', 'doesnt', 'know', 'hes', 'getting', 'vaccines', 'yet')",1.0,1.0
5994,"('lots', 'children', 'die', 'sick', 'vaccines', 'horrible', 'excuse', 'human')",-1.0,1.0
8734,"('let', 'bing', 'beginuberfacts', 'people', 'complain', 'live', 'longer', 'releasing', 'tension', 'increases', 'immunity', 'boosts', 'health')",0.0,1.0
3483,"('thank', 'vaccines', 'making', 'world', 'safer', 'place', 'pic', 'leon', 'farrant')",1.0,1.0
5285,"('live', 'everything', 'need', 'know', 'vaccines', 'every', 'day', 'sons', 'struggle', 'overcome', 'vaccine', 'injury', 'ongoing')",-1.0,0.6666666666666666
342,"('make', 'sure', 'everybody', 'gets', 'vaccinated', 'checked', 'money', 'spread', 'awareness', 'disease', 'cancer')",1.0,1.0
1801,"('rare', 'disease', 'kicked', 'school', 'made', 'go', 'doctor', 'vaccine')",0.0,1.0
8276,"('mmr', 'playing', 'south', 'heaven', 'nice')",0.0,1.0
6840,"('measles', 'mccarthy', 'now', 'rubella', 'rand', 'paul', 'ophthalmologist', 'scientist', 'christian', 'scientist')",0.0,0.6666666666666666
3909,"('la', 'co', 'health', 'officials', 'say', 'patients', 'diagnosed', 'measles', 'contact', 'people', 'infectious')",0.0,1.0
1125,"('downer', 'kid', 'home', 'chemo', 'little', 'immunity')",0.0,1.0
5353,"('schools', 'lag', 'vaccination', 'rates', 'several', 'new', 'york', 'public', 'schools', 'struggling', 'achieve', 'vaccination')",1.0,0.6666666666666666
4780,"('vaccinate', 'kids')",1.0,1.0
1546,"('preparing', 'discuss', 'overcome', 'parental', 'fear', 'w', 'consistent', 'insistent', 'persistent', 'w', 'empathy', 'amp', 'love')",1.0,0.6666666666666666
9471,"('sb', 'enroll', 'meningococcal', 'diseasepupils', 'immunized', 'recommended', 'age')",1.0,0.6666666666666666
8248,"('person', 'said', 'proven', 'fact', 'vaccines', 'cause', 'autism', 'go', 'read', 'fucking', 'scholarly', 'article', 'uneducated')",1.0,1.0
3976,"('flu', 'shot', 'less', 'effective', 'year', 'current', 'flu', 'virus', 'mutated', 'cdc', 'says', 'years', 'flu', 'vaccine')",0.0,0.6666666666666666
8042,"('untold', 'story')",-1.0,0.6666666666666666
5591,"('love', 'disneyland', 'aint', 'trying', 'put', 'risk', 'measles', 'lmao')",0.0,0.6666666666666666
4202,"('yes', 'many', 'people', 'getting', 'measles', 'now', 'great')",0.0,1.0
9940,"('average', 'people', 'complain', 'live', 'longer', 'releasing', 'tension', 'increases', 'immunity', 'boosts', 'healthuser')",0.0,1.0
7041,"('yall', 'playing', 'games', 'measles', 'outbreak', 'bronx', 'northern', 'manhattan')",0.0,0.6666666666666666
920,"('babies', 'young', 'vaccinated', 'now', 'measles', 'bc', 'bunch', 'selfish', 'dumb', 'fucks', 'didnt', 'kids', 'vaccinated')",1.0,1.0
9701,"('measles', 'rise', 'thanks', 'vaccinators')",1.0,1.0
7420,"('better', 'prevention', 'study', 'rate', 'alzheimers', 'given', 'mercury', 'aluminum', 'laden', 'annual', 'flu', 'vaccines', 'elderly')",-1.0,0.6666666666666666
6260,"('a', 'new', 'establishes', 'civil', 'immunity', 'damages', 'arising', 'birth', 'injury', 'congenital', 'defect', 'physicians')",0.0,1.0
9248,"('five', 'vaccinations', 'trip', 'honduras', 'week', 'w', 'amp')",1.0,1.0
5038,"('measles', 'outbreak', 'appears', 'fading', 'state', 'health', 'officials', 'say', 'state', 'health', 'officials', 'say', 'measles', 'outbreak')",0.0,1.0
1570,"('flu', 'shot', 'myths', 'addressed', 'cdc', 'cnn', 'flu', 'vaccine', 'myths', 'confuse', 'people', 'trying', 'decide', 'whether')",0.0,0.6666666666666666
3929,"('technical', 'advisor', 'level', 'iii', 'immunization', 'technical', 'advisor', 'washington', 'global', 'health', 'fellows', 'program')",0.0,1.0
5394,"('owe', 'world', 'new', 'explanation', 'friend', 'stripped', 'uk', 'findings', 'vaccinations', 'autism', 'triggers', 'u', 'say', 'now')",-1.0,0.6666666666666666
390,"('major', 'finding', 'reduce', 'risk', 'strokes', 'children', 'via')",1.0,1.0
4793,"('antivaxed', 'received', 'passive', 'immunity', 'vac', 'community', 'exposed', 'active', 'case', 'inc', 'risk', 'non', 'vax', 'increase')",1.0,0.6666666666666666
2993,"('kid', 'gets', 'measles', 'shit', 'bc', 'yall', 'crazy', 'bitches', 'arent', 'vaccinating', 'kids', 'swear', 'god', 'im', 'coming')",1.0,1.0
7978,"('cdc', 'hpv', 'vaccine', 'reduced', 'disease', 'rates', 'teen', 'girls', 'percent', 'credit', 'robyn', 'beckafpgetty', 'imagesboston')",1.0,0.6666666666666666
7413,"('aids', 'n', 'hiv', 'antibodies', 'guarded', 'monkeys', 'disease', 'six', 'months', 'theres', 'known', 'vaccine', 'hiv')",0.0,0.6666666666666666
1997,"('knx', 'spotlight', 'vaccine', 'dilemma', 'parents', 'vaccinate', 'kidsthats', 'focus', 'knx', 'spotlight')",0.0,0.6666666666666666
3429,"('jealously', 'popular', 'disease', 'thats', 'spreading', 'rapidly', 'vaccine', 'asap', 'called')",1.0,0.6666666666666666
3013,"('think', 'vaccines', 'cause', 'autism', 'allowed', 'reproduce')",1.0,1.0
6754,"('ill', 'pull', 'kristen', 'bell', 'let', 'anyone', 'vaccinated', 'near', 'children')",1.0,0.6666666666666666
9809,"('tonight', 'learned', 'scientists', 'wrong', 'state', 'killing', 'right', 'even', 'wrong', 'fences', 'good', 'vaccinations', 'bad', 'thanking')",0.0,0.6666666666666666
7417,"('congratulations', 'larry', 'cohan', 'david', 'carney', 'recent', 'vaccine', 'injury', 'settlement')",-1.0,0.6666666666666666
6770,"('click', 'link', 'see', 'public', 'places', 'exposure', 'may', 'occurred')",0.0,1.0
4003,"('ohh', 'cant', 'duo', 'lower', 'elo', 'people', 'anymore', 'ruins', 'mmr')",0.0,1.0
8208,"('vaccine', 'available', 'parentsd', 'chicken', 'pox', 'party', 'bring', 'healthy', 'kids', 'expose', 'virus')",1.0,0.6666666666666666
4370,"('health', 'researchers', 'testing', 'new', 'vaccine', 'lower', 'blood', 'pressure', 'new', 'way', 'lower', 'blood', 'pressure', 'might')",1.0,0.6666666666666666
344,"('autism', 'vaccines')",-1.0,1.0
3479,"('sounds', 'encouraging', 'tetravalent', 'dengue', 'vaccine', 'safe', 'effective', 'latin', 'american', 'children')",1.0,1.0
9702,"('cool', 'quotuser', 'immunizes', 'children', 'polio', 'via')",1.0,1.0
9474,"('experimental', 'ebola', 'vaccine', 'due', 'wait', 'world', 'health', 'organization', 'announced', 'saturday')",0.0,0.6666666666666666
8876,"('talking', 'getting', 'different', 'vaccines', 'protect', 'diseases', 'amp', 'illnesses', 'watch')",1.0,0.6666666666666666
3260,"('argh', 'thought', 'built', 'immunity', 'last', 'year', 'ive', 'consistently', 'sick', 'past', 'months')",0.0,1.0
8795,"('trying', 'fix', 'mmr', 'tough', 'mean', 'keep', 'getting', 'mixed', 'bad', 'teams', 'carrying', 'sona', 'tbh', '_')",0.0,1.0
1683,"('vaccine', 'pneumonia', 'meningitis', 'routinely', 'given', 'babies', 'exceeds', 'expectations')",1.0,1.0
9370,"('jan', 'pm', 'baltimore', 'gallery', 'download', 'mmr')",0.0,1.0
