,safe_tweet,label,agreement
115,measles may hit wisconsin dammit,1.0,1.0
116,still feel bad please dont scared,1.0,0.6666666666666666
117,schumer wants measles vaccine accessible,1.0,1.0
118,yet way immunize give measles vac rare cases causes brain damage believe caused autism,-1.0,0.6666666666666666
119,treat people obtained disease provide vaccinations reside area,1.0,1.0
120,new bexar co district attorney nico lahood vaccinations cause autism brian chasnoff,-1.0,1.0
121,vaccine scare leads measles epidemic uk,0.0,1.0
122,marketing message antivaxers focus weak amp sick risk amp cant vaccinate dont focus facts,1.0,0.6666666666666666
123,article rted u choose vaccinated youre ignorant dont even give whole cause autism,1.0,1.0
124,literally matter will now theres way mine low blizzard bad mmr,0.0,1.0
125,hope measles,0.0,1.0
126,last vaccine aurora health care occupational health,1.0,1.0
127,kids night earthfare time watch parents douse everything little angels touch sanitizer preventing immunities,0.0,1.0
128,vaccine will injure tens thousands,-1.0,1.0
129,important vaccinate care baby pigs,1.0,0.6666666666666666
130,editorial remove philosophical exemption vaccine requirements school entry michigan danger,0.0,1.0
131,even vaccine child still risk catching disease,0.0,0.6666666666666666
132,parents longer able rely herd immunity protected children,1.0,1.0
133,honestly dont believe immunization now passed new law starting year need specific shots school,-1.0,1.0
134,study kids finds link mmr vaccine autism,1.0,1.0
135,really mmr shots,-1.0,1.0
136,need vaccine deaths far guinea sierra leone alert,1.0,1.0
137,parents need mmr booster shot claim vaccines cause autism disorders provenis,1.0,0.6666666666666666
138,pro safety doesnt make antivaxer makes educated consumer,-1.0,0.3333333333333333
139,wants immunity wants now,0.0,1.0
140,great info today esp reemerging measles antigluten fad ty,0.0,0.6666666666666666
141,chicken pox kids vaccinated nasty itchy spots small scars little beauty,1.0,0.6666666666666666
142,understanding individual shots instead combo vaccines safer,-1.0,0.3333333333333333
143,immunities baby immunities,0.0,0.6666666666666666
144,amp vaccines arent new social diseases arent actually say mislabled,0.0,1.0
145,finally heard jenny mccarthys son autism apologize dead kids didnt vaccines,1.0,0.6666666666666666
146,gates foundation pledges billion immunize poor children,1.0,0.6666666666666666
147,reading fb comments measles articles great entertainment,0.0,1.0
148,eric holder forcing send babies start school illegals immunization shots,1.0,0.6666666666666666
149,aids n qhpv vaccine reduces risk costs among older hivpositive msm treated hgain,1.0,0.6666666666666666
150,isnt news talking measles wiped came back cuz dumbass people dont vaccinate kids,1.0,0.6666666666666666
151,dont flu vaccine know safe im letting rest school guinea pigs vaccine,-1.0,1.0
152,mountain glorious day cherry blossoms lunch w pal outside now drive bellevue mmr shot yay,0.0,0.6666666666666666
153,hmcheck wounds may infection vaccines arent date may disease regardless bring vet,0.0,0.6666666666666666
154,partial agreement measles cases result law large numbers coincidence media obfuscation,0.0,1.0
155,theyre heeeere dc confirms case measles,0.0,0.6666666666666666
156,vaccinate kids,1.0,1.0
157,nice discussion vaccines kidney transplant recipients,0.0,1.0
158,last one vaccinate damn children swear god hear vaccination autism shit one time im going kill,1.0,1.0
159,wont say politically correct vaccinate kids poliovirus idiots,1.0,1.0
160,omg day got drunk af pm wow mmr,0.0,1.0
161,gave adorable little asian kid piece chalk draw chalkboard waiting immunizations ate,0.0,0.6666666666666666
162,didnt vaccinatedampwe survived smallpox measles mumps amppolioampsurvived dadnou didnt smallpoxyes ampi survived,-1.0,0.6666666666666666
163,njoying moments life,0.0,1.0
164,people vaccinate kids outbreaks happen people think will autism educate,1.0,1.0
165,vaccinated kids yesterday rt flurelated pediatric deaths occur didnt vaccine,1.0,1.0
166,measles outbreak vaccinate vaccinate,0.0,0.6666666666666666
167,stick science dont want measles back,1.0,1.0
168,wonder many measles cases walking around heresure plenty sick candidates,0.0,1.0
169,people vaccinated truth parroting words context dont even understand bless heart cmon son,0.0,0.6666666666666666
170,double blind studies showing work,-1.0,1.0
171,yo mugs nuff said,0.0,1.0
172,measles cases ventura county prompt vaccination advisory two visitors europe suspected falling,1.0,0.6666666666666666
173,will never understand parents dont kids vaccinated,1.0,1.0
174,come pray mmr marian gardens,0.0,1.0
175,watched mmr truck hit cat bastereds,0.0,1.0
176,dont know causes autism know vaccines dont,1.0,1.0
177,ask bumps already shingles chicken pox measles,0.0,1.0
178,doubt immunity will open lips truth lerner,0.0,1.0
179,injuries amp death heres article many simple google search,-1.0,1.0
180,whats increase reported measles tb past five years,0.0,1.0
181,babies die sickened bad vaccines south mexico mexicos public health system suspended infant,0.0,0.6666666666666666
182,mmr x db deigner,0.0,1.0
183,say brooklyn biggie mogul presents franchise liaison problems official video,0.0,1.0
184,measles cases year high parents failing children vaccinated,1.0,0.6666666666666666
185,worried outbreak local doctors answer questions pm click,0.0,1.0
186,take toxin vaccine youll cancer autism wont hugs,-1.0,1.0
187,ya ready con pala caravana de texas saludos y un gran abrazo,0.0,1.0
188,pissed blood test see measles vaccine still good idiot parents dont vaccinate punished,1.0,1.0
189,taxpayer money wasted cdc canada comes vaccine pitiful,0.0,1.0
190,mmr meets bliss thursday august,0.0,1.0
191,cant brother awful reaction friends child developed autism first vaccines,-1.0,1.0
192,s new department healthimmunizations,0.0,0.6666666666666666
193,important rt measles cases california outbreak keep rising now almost,1.0,0.6666666666666666
194,cat vomit toddler tantrums kindergarten party kids patching scrapes amp writing measles amp religion,0.0,1.0
195,think day measles child concernedi now yrs old,0.0,1.0
196,aids vaccine created oregon health amp science university supposed completely clear virus system,1.0,1.0
197,parents warned vaccinating kids may turn gay via,-1.0,0.3333333333333333
198,need ask measles outbreak illegalswhere fit epidemic chainnear beginning,0.0,1.0
199,take kids playground amp measles another parent wont kids vaccinated im busting heads,1.0,1.0
200,sb enroll providing immunity civil criminal liability certain health care providers performi,0.0,0.6666666666666666
201,gov christie parents choice whether vaccinate kids,0.0,0.6666666666666666
202,love measles go measles take goodnight,0.0,1.0
203,father boy leukemia asks california school officials bar unvaccinated students,1.0,0.6666666666666666
204,yes ill take vaccines amp please keep ur unvaccinated kids away mine go live ur paranoiafilled cave,1.0,0.6666666666666666
205,simple vaccinate kids end,1.0,1.0
206,new measles cases confirmed san mateo marin counties,0.0,1.0
207,dr nicole bates imagine global health policy system,1.0,1.0
208,yas argument medically necessary vaccinate child relies solely everyone vaccinating,1.0,0.6666666666666666
209,pete carroll blew super bowl going now im going disneyland catch measles,0.0,1.0
210,outbreak spreads lower east side,0.0,1.0
211,california lawmakers aim limit vaccine exemptions,1.0,1.0
212,full disclosure measles kids whereabouts past weeks,0.0,0.6666666666666666
213,fuckn ball wit n whole mmr team hate leave got go next time im,0.0,1.0
214,survived amp now lifetime natural immunity,0.0,1.0
215,measles outbreak az monitored locally health workers colorado monitoring developments arizona,0.0,0.6666666666666666
216,autism family losing home click donate via vaccine injury,0.0,0.6666666666666666
217,taylees getting second round immunizations today feel bad baby avera mcgreevy clinic west,1.0,0.6666666666666666
218,vaccines contain aluminum conditions associated aluminum exposure,-1.0,1.0
219,jenny mccarthy gets crucified twitter antivaccination beliefs kids vaccinated,1.0,0.6666666666666666
220,parts africa people vaccinated measles us,0.0,0.6666666666666666
221,vaccinations work safe choice herd immunity fails people die idiots,1.0,1.0
222,girls first casserole inside ohh turn stuffed pepper courtesy mmr,0.0,1.0
223,im mmr station mount pleasant mi,0.0,1.0
224,remedies available citizens harmed due site hacking sue us gov sovereign immunity,0.0,1.0
225,childrens museum houston offer free vaccinations,1.0,0.6666666666666666
226,case measles suspected baltimore county child baltimore county child tested measles visiting,0.0,1.0
227,apparently nasal spray live culture flu vaccination isnt going work desmond keeps throwing poor baby,-1.0,0.3333333333333333
228,something super bowl katy perry vaccinations katy perry giving children vaccines halftime idk stay relevant,0.0,1.0
229,scientist recalls outbreak angelenos caught measles disease researcher worked,0.0,1.0
230,im emos death vaccines red river st e th st austin w others,0.0,1.0
231,watch volunteers risking lives vaccinate children areas held isis,1.0,1.0
232,im totally going disneyland ive measles vaccination lines will shorter,1.0,1.0
233,jesus didnt vaccinate neither will kids dumbest thing ive heard,1.0,1.0
234,vaccinations hope measles,1.0,1.0
235,im diabetic heart patient need take measles vaccine,0.0,0.6666666666666666
236,cdc coverage national immunization survey infographic vaccines,0.0,1.0
237,poor baby getting vaccines today home sweet home,1.0,1.0
238,flu vaccine small amounts mercury bad build immune system healthy lifestyle,-1.0,0.6666666666666666
239,vaccinations must requirement many infants vaccinated u guys willing risk lifes,1.0,1.0
240,vaccine safe effective amp kids need booster,1.0,1.0
241,amnews new forms vaccines offer promising results even recent type vaccine uses harmless virus,0.0,0.6666666666666666
242,troubling hearing parents wont vaccinate children,1.0,1.0
243,everything home tuesday marjais meet w tyratonique host,0.0,1.0
244,seriously people kids vaccinated will never understand people benefits way risks wayy,1.0,1.0
245,issue important vaccinate children takes stage,1.0,1.0
246,finally getting immunization records school,1.0,0.6666666666666666
247,parents didnt kids measles vaccination take hospital,1.0,0.6666666666666666
248,nothing pisses young mothers know nothing microbiology immunology refusing vaccinate child,1.0,1.0
249,parents vaccinating kids feel free walk edge earth,1.0,1.0
250,things know san diegos measles outbreak,0.0,1.0
251,measles outbreak bc ignorant parents refuse vax kids action reqd cdc allow child wo vac attend,1.0,1.0
252,today blocked autism parent support group nj vocal parent proponent vaccination,0.0,0.6666666666666666
253,bottom line vaccinate children guys,1.0,1.0
254,grandsons pediatrician acknowledged vaccine injuries amp provided waiver voluntarily receive vaccines,-1.0,1.0
255,say misting fly neighborhoodsamp mist vaccinations kids outside ie playground ampbus stops,0.0,0.6666666666666666
256,dont vaccinate kids youre uneducated dumbass parent deserve charged child abuse,1.0,1.0
257,passed chex exams got vaccinated amp tested cant wait uniformamp placed,1.0,1.0
258,allow interrupt rq vaccines way shape form related autism,1.0,1.0
259,sb passed meningococcal diseasepupils immunized recommended age,0.0,0.6666666666666666
260,hah ha ha fucking vaccinate children,1.0,0.6666666666666666
261,miners fight field pregame learned fast,0.0,1.0
262,measles outbreak centered disneyland may declared friday measles outbreak started,0.0,1.0
263,stuffconz fear grows outbreak medical authorities fear measles outbreak spread hundreds m,1.0,0.6666666666666666
264,yup sky still blue icymi vaccines clearedagainin risk debate,1.0,1.0
265,im mmr station weidman mi,0.0,1.0
266,people disneyland measles outbreak unvaccinated fault claims propaganda,-1.0,0.6666666666666666
267,un stops syria vaccine campaign children die,-1.0,0.6666666666666666
268,jijijiji mmr acabo de ver tus tweets apenas,0.0,1.0
269,tarrant county confirms another measles case tarrant county another measles case,0.0,1.0
270,flu shots never proven protect getting flu vaccine company uses scare tactic,-1.0,0.6666666666666666
271,dont act surprised gtyikes thousands bart commuters may exposed measles,1.0,0.6666666666666666
272,rtuser study finds link immunizations autism,1.0,1.0
273,epa knows ppm fluoride killed million babies last yr toxic mix fluoride vaccines whistleblow,-1.0,1.0
274,reminder work health rightexercisevaccines protect others sick,1.0,0.6666666666666666
275,jim think worthy opponent dwight correct unless happen measles present,0.0,1.0
276,maybe woke measles,0.0,1.0
277,one mangeridden raccoon apparently w diseases causing hair loss wild animals dont mange immunity,0.0,1.0
278,one countries children missed vaccinations tetanus one,1.0,1.0
279,now got measles outbreak disney land,0.0,1.0
280,million pledges vaccinate world kids britain norway united states,1.0,0.6666666666666666
281,actual debate vaccinating kids nobrainer calling running plays halfyard line,1.0,1.0
282,measles mumps novella,0.0,1.0
283,yrold son autism amp absolutely vaccinatedhis life worth healthy,1.0,1.0
284,vaccines cause autism,1.0,0.6666666666666666
285,someone got measles vaccine chance recurring poor kid got ear infection,-1.0,0.3333333333333333
286,vaccines important health need affordable better access implementation,1.0,1.0
287,previously vaccinated peoples antibodies low now disease adults good,0.0,0.6666666666666666
288,health district offers nocost immunizations uninsured children southern nevada health district,1.0,0.6666666666666666
289,saddest part dont keep crazy son autistic fheads insult idiocy,1.0,0.6666666666666666
290,power truth rally years later trace amounts documentary,-1.0,0.6666666666666666
291,vaccines give children opportunity live full potential,1.0,1.0
292,cancer vaccine proven safe,1.0,1.0
293,da homie posted club illusions,0.0,1.0
294,california measles outbreak grows,0.0,1.0
295,rtuser parents doctors politici stop measles whooping cough outbreaks,1.0,0.6666666666666666
296,refuse vaccinate kid think increases risk developing autism really dumb real,1.0,1.0
297,turesday psa cdc says soap watergt running watergt hand sanitizer preventing spread disease wash yo handz yo vaccines,1.0,0.6666666666666666
298,measles churro cart,0.0,0.6666666666666666
299,todaylouis pasteur successfully tested antirabies vaccine child later became pasteur institute director,1.0,0.6666666666666666
300,geeked start school unity,0.0,0.6666666666666666
301,guess got shot early cautious,0.0,0.6666666666666666
302,vaccinate kids doesnt want others,0.0,0.6666666666666666
303,putting kids risk theyre vaccinated dont fall propaganda,-1.0,0.6666666666666666
304,two things arent even viruses earth vaccinate autism makes sense,0.0,0.6666666666666666
305,two new cases measles hit city two new cases measles reported city raising total,0.0,1.0
306,average people complain live longer releasing tension increases immunity boosts health,0.0,1.0
307,parents must vaccination children,1.0,1.0
308,outbreak spreading amp reignited vaccine debate side really brainervaccinate,1.0,0.6666666666666666
309,help please rt happymothering doctors change names diseases vaccines work via,-1.0,0.6666666666666666
310,choked sip soda drank woman shoved told stop spreading measles thanks antivaccers,1.0,0.6666666666666666
311,ebola vaccine trials set begin september officials world health organization said first,0.0,0.6666666666666666
312,historical amp scientific critique theory vaccines prevent amp lowered disease rates,-1.0,0.6666666666666666
313,figured crazy antiscience people running around unvaccinated time mmr,1.0,1.0
314,home safe mmr best well didnt go know,0.0,1.0
315,baby girl got immunizations today,1.0,0.6666666666666666
316,aids n patients hiv may need additional mmr immunization,0.0,1.0
317,vaccinate prevent death convenience,1.0,1.0
318,rt unvaccinated youre k times likely die win powerball,1.0,1.0
319,elb combo vaccine causes autism son elijah taken state wife diagnosed autism likel,-1.0,1.0
320,experts emphasize vaccination measles cases spread,0.0,0.6666666666666666
321,ages places working together save children,1.0,1.0
322,arizona pinal county health officials confirm eight cases measles total cases confirmed,0.0,1.0
323,mighty mmr music money records,0.0,1.0
324,cuz time s law passed all school age kidsprego womenn infants b mandatory vaccinescoincidence nope,-1.0,0.3333333333333333
325,imagine children coming home great time disney measles dude wtf,0.0,1.0
326,go away kids vaccinated try approaching people nicely might care say,1.0,1.0
327,measles outbreak need know,0.0,1.0
328,aaaaaaaand thats theyre called autism vaccines,0.0,0.6666666666666666
329,flu deaths cuyahoga cty vaccineseasy amp free straights freegtgt chip medicaid amp medicare,1.0,1.0
330,cdc now admitting omitting vaccine study data showing increased risk autism,-1.0,0.6666666666666666
331,fake dying slow death wit vaccine real eternal healthy dose taken today,0.0,0.6666666666666666
332,spare vaccines necessary required,1.0,1.0
333,something dont even vaccines cause autism dont vaccinating preferable option,1.0,0.6666666666666666
334,im survivor chicken pox measles amp mumps sisters,0.0,1.0
335,yall start thinkin crazy vaccination shot chicken pox measles shit,0.0,0.6666666666666666
336,esp mercury free vaccines available,1.0,0.6666666666666666
337,ohio measles outbreak biggest us,0.0,1.0
338,fucking baby vaccinated damn,1.0,1.0
339,yes chosen delayed schedule kids tweet thoughtsquestions,0.0,0.6666666666666666
340,teaching kiddos stay healthy winter immuniteaclove cinnamon make,0.0,0.6666666666666666
341,unfortunately way people going realize vaccines necessary children amp adults start dying preventable diseases,1.0,1.0
342,make sure everybody gets vaccinated checked money spread awareness disease cancer,1.0,1.0
343,thats always carry raincoatsometimes measles umbrella wont cut hope everything works,0.0,0.6666666666666666
344,autism vaccines,-1.0,1.0
345,vaccine injury compensation programs,-1.0,0.6666666666666666
346,bad repubs cut cut cut budget cdc likely vaccine ebola now,1.0,0.6666666666666666
347,health district possible measles cases reported near reno,0.0,1.0
348,whoever ebola vaccine going make lot money amp give thanks cdc,0.0,1.0
349,aids n children hiv often lack measles immunity half children infected hiv birth dont,0.0,0.6666666666666666
350,mississippi west virginia two states dont allow nonmedical vaccination exemption,-1.0,0.3333333333333333
351,people freaking ebola patient coming unmc worry afraid parents vaccinating kids,1.0,1.0
352,excited mmr bbq today going freaking awesome going ill see,0.0,1.0
353,political support crucial reach fifth child vaccines,0.0,0.6666666666666666
354,live world people dont vaccinate kids amp seriously debate thats ok take,1.0,1.0
355,aids n many cooks might elusive secret ingredient hiv vaccine estimated close,1.0,0.6666666666666666
356,think disneyland started newlyvaccinated workersno news report dispelled theory,-1.0,0.3333333333333333
357,vaccinate freaking kids,1.0,1.0
358,ridiculous even let kids school dont want exposing kid vaccinated kids arent,1.0,0.6666666666666666
359,timely ny health dept measles patient boarded amtrak train penn station,0.0,0.6666666666666666
360,stop blaming first now diseasesbrought ancestors,1.0,0.6666666666666666
361,vaccinate child unless doctor,-1.0,0.6666666666666666
362,children wo lifesaving vaccines pls change amp put summit agenda,1.0,1.0
363,know youre s kid vaccinations mandatory nobody class got measles,1.0,1.0
364,amazing,0.0,1.0
365,pants fire rush blames outbreak children stupidity contagious,1.0,0.6666666666666666
366,mother kids autism believe vaccines nothing think autism overly diagnosed,1.0,1.0
367,disney tie hides biggest measles risk adults catch bloomberg business,0.0,1.0
368,whenever encounter antivaccination person list things likely cause autism never give,1.0,1.0
369,dallas legislator wants reduce vaccine exemptions state rep jason villalba rdallas said goal,0.0,1.0
370,better measles,0.0,0.6666666666666666
371,tougher vaccination rules greet parents backtoschool time nears strict new rules state,1.0,0.6666666666666666
372,pretty sure headline parents taking unvaccinated children public linked measles outbreak,1.0,1.0
373,vaccinated baby hot yoga,1.0,0.6666666666666666
374,baby doesnt vaccinated neither yorkie,1.0,1.0
375,measles vaccine doesnt increase risk autism according study vaccine measles mumps rubella,1.0,0.6666666666666666
376,ended dead within hours vaccinated regardless study,-1.0,1.0
377,vaccine truth,0.0,0.6666666666666666
378,sadly id much rather child grow autism risk child fatal measles outbreak,1.0,1.0
379,measles outbreak makes way ventura county,0.0,0.6666666666666666
380,moms love measles effect,0.0,0.6666666666666666
381,poison ivy vaccines id pay good money shit,1.0,0.6666666666666666
382,another milestone first set immunizationsbaby harper took shots champ,1.0,1.0
383,rt attn america giving vaccine prevents cancer hpv way bad kids cont,1.0,0.6666666666666666
384,talk selfish stupidity cant believe one fraudulent doctor gotten us place vaccines feared sad,1.0,1.0
385,theres way parents vaccinate kids,1.0,0.6666666666666666
386,interesting know measles outbreak started illegals vaccinatedgood investigation required,1.0,0.6666666666666666
387,law order svu s e case measles aired living,0.0,1.0
388,everything carries risk benefit comes higher form questions asked,1.0,1.0
389,kids vaccinated grow,1.0,1.0
390,major finding reduce risk strokes children via,1.0,1.0
391,measles case confirmed oakland county vaccinations offered oakland county will offer measles measles mumps,0.0,0.6666666666666666
392,child visiting marthas vineyard diagnosed measles child visiting marthas vineyard another state,0.0,1.0
393,im asking bring awareness hpv vaccine usually hpv harmless chance cause cervical cancer,1.0,0.6666666666666666
394,mango pain vaccines poor baby,0.0,0.6666666666666666
395,version s link bio somage studios,0.0,1.0
396,letting nixon hook massive criminality granted kind sovereign immunity life historical ambiguity death,0.0,1.0
397,lets send measles isis via illegals us,0.0,1.0
398,vaccinations mandatory safety kid definitely safety others,1.0,1.0
399,heres proof mmr measles vaccine insert says causes measles,-1.0,1.0
400,well aware dangers measles nearly died age vaccinating children cruel,1.0,1.0
401,tells healthy adults forget flu vaccine,1.0,0.6666666666666666
402,around ishh ya mmr,0.0,1.0
403,im suspicious vaccine wears way quicker current cdc guidelines suggest,-1.0,0.6666666666666666
404,rt lion,0.0,0.6666666666666666
405,hey stupid liberalshear measles diseases somalia cause kids arent vaccinated vaccines prevent disease cause autism,1.0,1.0
406,dont believe science dont believe evolution climate change gmo safety vaccine safety belief without evidence faith,1.0,0.6666666666666666
407,measles debate continues tnx svu,0.0,1.0
408,blame people vaccinating children reason different illnesses making come back,1.0,0.6666666666666666
409,waiting elderly woman mentally disabled kids bus stop padadena woman caused corrupt gov vaccination wtf,0.0,0.6666666666666666
410,nationalism infantile disease measles humanityeinstein true,0.0,1.0
411,baby first set vaccines hope become crazy today sorry sarai happen love u though,1.0,1.0
412,pfisd sup bringing flu vaccine kids areschool free,1.0,1.0
413,texans attending softball tournament kansas possibly exposed measles austin txap texas health,0.0,1.0
414,the flu vaccine first sign indoctrinated system flu vaccines worst live virus dead,-1.0,1.0
415,sun ra measles,0.0,1.0
416,hopefully kids sake thats norovirusbowlcut vaccine,1.0,0.6666666666666666
417,innovative action plan sept agenda european health ministers,1.0,0.6666666666666666
418,average people complain live longer releasing tension increases immunity boosts health,0.0,1.0
419,immunization records childrens doctors,0.0,1.0
420,crazy officials still call parents vaccinate children st century,1.0,1.0
